asin,page,review_id,title,rating,author,date_text,body,verified_purchase,helpful_votes,variant,Flavor,Date,Month,sent_compound,sent_label
B07HRJ2VPK,1,customer_review-RBCD5BC6J1M2J,5.0 out of 5 stars,5.0,Ryan,"Reviewed in the United States on September 5, 2025","Love it, be careful not to get addicted",True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-09-05,2025-09-01,0.7003,pos
B07HRJ2VPK,1,customer_review-R2BQICS2VVG29D,3.0 out of 5 stars,3.0,Andrew,"Reviewed in the United States on September 4, 2025","At first, the flavor wasn’t great, but the more I tried it, the better it tasted. I really liked the Viet Coffee—it reminded me of an espresso. I would definitely buy it again if I was craving coffee. Overall, I’d give it a 5/10.",True,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-09-04,2025-09-01,0.9336,pos
B07HRJ2VPK,1,customer_review-R28CQPT54CSIWR,4.0 out of 5 stars,4.0,Elle,"Reviewed in the United States on August 20, 2025","This tastes delicious just like boba, BUT OMG the caffeine in it killed my stomach. I drank it this morning around 8am and it’s 10pm and I’m still suffering from anxiety and stomach pain, I took some magnesium but it worked for only a short time.  I had it last night and it took me a bit to fall asleep but I had taken Magnesium and melatonin. I don’t think I could drink this again unless I was about to run or do something super super active. It makes me sad because I was happy it tasted good and the macros aren’t bad and it’s a good amount in the package.",True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-08-20,2025-08-01,0.6486,pos
B07HRJ2VPK,1,customer_review-R3U5ZYAMZWYGIV,5.0 out of 5 stars,5.0,Travista,"Reviewed in the United States on August 13, 2025","Pretty good. Its obviously not a 1 to 1 taste to normal (with sugar) milk tea. Its just the monk fruit that has a ""taste"". If you're use to alternative sweeteners or monk fruit i don't think you would notice the taste so this would be a perfect. I stop noticing the flavor discrepancy after 2-4 sips then it taste completely fine. Do not try using boiling water or anything hot to dissolve or mix this will make the protein powder curdle and it'll be like drinking cottage cheese. I did this and gave the product the benefit of the doubt after googling how protein powder works. If it clumps most likely whatever you used as your liquid was to hot. Have had deliciously smooth drinks dissolving the powder is faucet warm, room temp,and cold liquids.",True,2,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-08-13,2025-08-01,0.9476,pos
B07HRJ2VPK,1,customer_review-R21P1NXUFX9J2Z,3.0 out of 5 stars,3.0,Rachael DeVeau,"Reviewed in the United States on August 10, 2025","The taste is off and not appealing. I lived in Hong Kong for a while and know what Vietnamese coffee tastes like. I am by no means a coffee snob; I like instant coffee. Experimenting, trying lots of different ways to make coffee has caused me like a wide variety of flavors. Unfortunately there is something off about the taste of this. I’m going to guess it’s the monk fruit sweeter??? Not sure. I don’t think I have refined pallet and didnt think I would notice anything off about the taste. But it’s so bad I’m not sure what I’ll do with the bag :(",True,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-08-10,2025-08-01,-0.9393,neg
B07HRJ2VPK,1,customer_review-R2LV5BPQE3JTO6,5.0 out of 5 stars,5.0,Biankitten,"Reviewed in the United States on August 6, 2025","If you’re a fan of classic boba milk tea, this is a must-try! This is my second favorite flavor from Boba Protein family. It’s delicious, indulgent, and doesn’t taste like your average protein shake. I blend it with milk and a scoop of Vital Proteins Collagen for a 45g protein boost. This milk tea protein powder satisfies my boba cravings in a much healthier way and has been a go-to throughout my health journey. So happy I found this brand!",True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-08-06,2025-08-01,0.9708,pos
B07HRJ2VPK,1,customer_review-RYUCCM1CS6PLU,3.0 out of 5 stars,3.0,Cody,"Reviewed in the United States on August 5, 2025","Flavor of the resembles milk tea. When adding just water, it will have that watered down taste. It mixes decently well, but does ocassionally get clumped. There is no noticable odor. The only downside is the bag is not very sealable. Tried numerous times to get the bag to seal, but it would not seal. Had to use a clamp to keep the bag seal. Comes with a scoop for measurements. Overall not bad, but definitely needs a better packaging method.",True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-08-05,2025-08-01,0.4382,pos
B07HRJ2VPK,1,customer_review-R2W13XTAEMY7BY,1.0 out of 5 stars,1.0,SilverMuse,"Reviewed in the United States on July 31, 2025",Do not buy this product! This is an unethical product. Tried to enjoy but looked into the brand and saw that it is not honest. Flavors and creativity like this is stolen from other brands (esp ones that haven’t even started yet). Cannot for the life of me enjoy this flavor or any flavor. Horrible,True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-07-31,2025-07-01,-0.4579,neg
B07HRJ2VPK,1,customer_review-R3I46XSU8MBHCV,4.0 out of 5 stars,4.0,Amazon Customer,"Reviewed in the United States on July 31, 2025","I really like the flavor and it's one of my favorite protein powders, HOWEVER if you have anxiety or are someone who gets affected by caffeine you might want to stay away.",True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-07-31,2025-07-01,0.5849,pos
B07HRJ2VPK,1,customer_review-R2GDMKJN6LN3IU,5.0 out of 5 stars,5.0,Cindy,"Reviewed in the United States on July 31, 2025","The order came in pretty quick, I'll say it got at my house within three days. When I opened the bag, the powder smelled very delicious, sorta like Chocolate-flavored Nesquik. I used a blender to make mine with a cup of water and a cup of Oat milk which is very delicious. I don't see any issue with any clumsiness. It does get a bit foamy but I believe it's due to the blender. The other day, I had some regular milk tea at the mall and nearly couldn't finish it because it was so sweet. I really like how Boba Tea Protein is not very sweet but still very delicious and easy to drink. It is also low in calories compared to other protein drinks. I will definitely buy more flavors just so I have more to choose from.",True,0,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-07-31,2025-07-01,0.9875,pos
B07HRJ2VPK,2,customer_review-R2VCTH7M6V2UAC,1.0 out of 5 stars,1.0,V,"Reviewed in the United States on July 26, 2025",Taste is awful. I couldn’t even finish a cup of one scoop of the coffee flavor blended with banana and oat milk. The smell of the powder on its own is disgusting so I’m not sure why I even tried to drink it. The sugar additives are both extremely bitter and overly sweet at the same time. I got sucked in by an instagram add and I love boba tea so I was hoping this might be good but it’s horrible. Stick with your usual protein.,True,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-07-26,2025-07-01,-0.7353,neg
B07HRJ2VPK,2,customer_review-ROT3KKDBIZYAZ,5.0 out of 5 stars,5.0,Skylar,"Reviewed in the United States on July 26, 2025","I usually hate protein powder it's chalky, chunky, the taste is off, and the fake sugars bother me. This one is seriously so good!! I added half oatmilk and half water and used more than the 8 oz recommended on the package. I also added collagen powder. It was super smooth and sily, didn't have any weird taste. If I hadn't bought it I would NEVER have realized it had protein powder in it. I opted for the milk tea since it had more caffeine and Im using it to start my day. Absolutely love and will buy again.",True,2,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-07-26,2025-07-01,0.4472,pos
B07HRJ2VPK,2,customer_review-R30PUJ71IXGLK8,4.0 out of 5 stars,4.0,T. Y.,"Reviewed in the United States on July 24, 2025","This is my second time buying this whey. I love boba tea however lately I have been trying to cut back on the boba drinks due to the calories and amount of carbohydrates ingested. I think the size, protein content and mix ability are great! It is not hard at all, i follow the instructions and mix a 2:1 ratio of almond milk and water, shake my bottle and it’s ready to be consumed. It tastes absolutely amazing and I love it!!!! I wish it was a bit more affordable hence I am taking one star.",True,2,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-07-24,2025-07-01,0.9743,pos
